movie_id,predictions
62693,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0
296252,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0
1356971,0 1 0 1 1 0 0 0 0 0 1 1 1 1 0 1 0 1 0 0
1428872,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0
1582173,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0
1595142,0 1 0 1 0 0 1 1 0 0 0 1 1 1 0 1 0 0 1 0
1600825,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0
1681132,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0
2268290,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0
3327607,0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0
3569957,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0
4413498,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0
4635580,0 0 0 1 1 0 0 0 0 0 1 1 1 1 0 1 0 1 0 0
4950989,0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 1 0 0
5565692,0 1 0 1 1 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0
7003785,0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 1 0 1 0 0
8269287,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0
9560197,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 1 0 0
10731337,0 1 0 1 0 0 1 0 0 0 1 1 1 1 0 1 0 1 0 0
11192132,0 1 0 1 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 0
11272068,0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0
12324827,0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0
13333148,0 0 0 1 1 0 1 0 0 0 1 1 1 1 0 1 0 1 0 0
13949859,0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 1 0 1 0 0
15260151,0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 1 0 1 0 0
15739815,0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0
16706073,0 1 0 1 1 0 1 0 0 0 1 1 1 1 0 1 0 0 0 0
17341391,0 1 0 1 0 0 1 0 0 0 1 1 1 1 0 1 0 0 0 0
